row_id,result
1,"78"
2,"1"
3,"156"
4,"215"
5,"1"
6,"179"
7,"189,267,171"
8,"51,209,6,13,130,15"
9,"207,76"
10,"1"
11,"104"
12,"185,240"
13,"125"
14,"1"
15,"1"
16,"1"
17,"1"
18,"45,91,37,128"
19,"1"
20,"1"
21,"241,168"
22,"1"
23,"1"
24,"118"
25,"1"
26,"1"
27,"187,243,21,115,17,92"
28,"1"
29,"234"
30,"77,180,110,112,190,205"
31,"1"
32,"124,1,128,206"
33,"245,222,147,23"
34,"272"
35,"217,121"
36,"1"
37,"140"
38,"188"
39,"5,85,99,247,42,73"
40,"158,153,140,235,50,197,41,49"
41,"187,191"
42,"179,48"
43,"59,265,123,64,275,37,207"
44,"169,281,142,61,147"
45,"1"
46,"1"
47,"166"
48,"169"
49,"151,51,158,157,191,281,122,123,257,2,104,105,139,178,108,271,273,173,73,283,98,118,199,66,92"
50,"1"
51,"1"
52,"274,197,242,256,204,27,196,31,21,173,130,214,109,283,15,93,68,98,101,118,282,134,102,148,199,24,36,237,231"
53,"1"
54,"1"
55,"268"
56,"1"
57,"1"
58,"85,87,215,55,155,137,1,88,167,172,121,285,258,196,37,276,234,77,278,44,252,22,239,71,106,112,14"
59,"1"
60,"1"
61,"1"
62,"1"
63,"1"
64,"127,221,166,198,45,86,135,12,104,117,186,204,41,174,77,214,262,260,180,44,230,110,112,190,205,92,87,151,159,259,1,56,1,133,121,266,207,32,240,239,76,141,230,113,49"
65,"12,75,53"
66,"1"
67,"127,74,1"
68,"1"
69,"127,233,54,16,1,55,166,162,86,20,247,1,179,156,123,88,63,279,2,1,125,104,121,235,201,176,96,1,236,114,41,275,276,266,1,200,216,39,264,163,33,145,252,240,239,71,141,230,282,102,149,206,153,154,28,58,64,244,129,108,182,272,283,15"
70,"221,5,225,1,86,11,25,12,211,194,124,235,117,192,119,273,197,61,109,15,98,278,163,106,149,193,63,41"
71,"1"
72,"158,153,140,235,50,182,197,41,49,63"
73,"51,26,271,96,75"
74,"1"
75,"1,121,44,71"
76,"145,78"
77,"1"
78,"1"
79,"1"
80,"1"
81,"1"
82,"1"
83,"1"
84,"1"
85,"1"
86,"1"
87,"1"
88,"1"
89,"1"
90,"1"
91,"274,197,242,256,204,27,196,31,21,173,130,214,109,283,15,93,68,98,101,118,282,134,102,148,199,24,36,237,231"
92,"1"
93,"1"
94,"225,215,16,1,159,161,162,157,28,138,20,259,7,48,67,88,1,56,248,2,185,139,95,178,201,168,271,74,1,35,116,197,53,79,188,268,266,15,32,239,190,132,147"
95,"1"
96,"159,160,158,161,162,157,153,154,155"
97,"1"
98,"209,9,150,262,132,113"
99,"233,151,193,78,67,88,235,256,275,61,266,227,1,46,118,189,262,267,253,263,239,76,199,72"
100,"233,54,1"
