row_id,result
0,"78"
1,""
2,"156"
3,""
4,""
5,"179"
6,"189,267,171"
7,"51,209,13,130,15"
8,"207,76"
9,"115"
10,""
11,""
12,""
13,"101,81"
14,""
15,""
16,""
17,""
18,"140,98"
19,""
20,"242,168"
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,"234"
29,""
30,""
31,""
32,""
33,"272"
34,""
35,"247,276,72"
36,"140,235,50,182,197,41,49"
37,""
38,"5,99,247,42,208,203"
39,"158,153,154,140,235,50,182,197,41,49"
40,"187,55,191,200"
41,""
42,"59,265,64,275,37,207,232"
43,""
44,""
45,"286,270,56,29,175,205,33,32,165"
46,"166,124"
47,"169"
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,""
62,""
63,""
64,""
65,""
66,""
67,"190,52"
68,""
69,""
70,""
71,""
72,"51,26,271,96,75"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,""
83,""
84,""
85,""
86,""
87,""
88,""
89,""
90,""
91,""
92,""
93,""
94,""
95,""
96,""
97,""
98,""
99,""
