row_id,result
0,"1"
1,"127,221,5,233,151,220,144,54,225,215,212,169,159,160,158,161,162,157,153,154,155"
2,"1"
3,"1"
4,"1"
5,"1"

6,"189"
7,"1"
8,"233,220,16,82,26,40,76,106,52,132,151,159,259,56,121,266,240,239,141,230"
9,"1"
10,"1"
11,"1"
12,"1"
13,"1"
14,"160,191,281,125"
15,"1"
16,"1"
17,"1"
18,"233,220,144,212,187,159,162,242,259,265,179,156,90,194,244,104,35,274,197,256,21,173,75,53,283,93,68,278,76,106,52,66,132,151,169,210,198,157,153,154,45,28,140,59,135,243,94,257,48,91,248,246,251,121,95,196,266,98,200,205,222,46,77"
19,"54,169,224,62,286,243,156,56,284,29,96,130,15,205,46"
20,"242"
21,"1"
22,"1"
23,"1"
24,"1"
25,"205"
26,"187,243,21,115,92"
27,"1"
28,"225,215,212,210"
29,"127,221,5,233,151,220,144,54,225,215,212,224,228,210,16,62,51,209,187,55,202,166,198,99,159,160,158,161,162,157,153,154,155,191,45,86,281,30,28,122,140,138,242,20,59,247,259,265,286,193,135,243,179,94,78,156,123,257,270,48,67,58,91,9,136,82,88,56,43,211,90,26,194,172,279,255,2,40,42,254,244,104,284,251,29,121,170,142,235,117,195,95,249,250,178,100,285,229,201,192,74,96,10,273,35,236,116,258,274,197,256,204,27,196,31,21,173,75,53,79,188,208,73,268,174,266,227,130,214,109,283,93,68,98,101,118,189,200,216,81,39,278,262,181,252,22,164,165,183,0,240,239,76,245,152,141,230,115,111,110,112,190,52,66,205,222,14,143,92,18,1,226,83,234,77,69,80"
30,"221,166"
31,"206"
32,"1"
33,"1"
34,"1"
35,"1"
36,"140"
37,"1"
38,"1"
39,"158,153,154,140,235,197"
40,"1"
41,"1"
42,"1"
43,"169,281,142"
44,"127,233,54,16,55,166,162,86,20,247,286,179,156,123,88,279,2,125,104,235,201,96,236,266,200,216,39,252,240,239,71,141,230,206,1,234,155,30,122,265,193,137,270,246,178,100,197,256,53,174,214,283,68,181,164,83"
45,"286,270,56"
46,"1"
47,"1"
48,"1"
49,"1"
50,"1"
51,"1"
52,"1"
53,"1"
54,"1"
55,"1"
56,"1"
57,"1"
58,"1"
59,"1"
60,"1"
61,"1"
62,"1"
63,"1"
64,"1"
65,"1"
66,"1"
67,"1"
68,"127,233,54,16,55,166,162,86,20,247,286,179,156,123,88,279,2,125,104,235,201,96,236,266,200,216,39,252,240,239,71,141,230,206,1,234"
69,"1"
70,"1"
71,"1"
72,"1"
73,"1"
74,"1"
75,"1"
76,"1"
77,"1"
78,"1"
79,"1"
80,"1"
81,"1"
82,"127,221,5,233,151,220,144,54,225,215,212,169,224,228,210,16,62,51,209,187,55,202,166,198,99,159,160,158,161,162,157,153,154,155,191,45,86,217,281,30,28,122,140,138,242,20,59,247,259,265,286,193,135,243,179,94,7,78,156,123,137,257,270,48,67,58,91,9,136,82,88,56,43,211,90,26,194,172,279,258,274,197,256,204,27,196,31,21,173,75,53,79,188,208,73,268,174,266,227,130,214,109,283,15,93,68,98,101,118,189,200,216,81,39,278,262,146,181,97,252,22,164,165,183,0,240,239,76,71,106,245,152,141,230,115,111,110,112,190,52,66,132,205,206,222,14,143,92,18,1,226,46,83,234,77,69,80"
83,"1"
84,"56,43,211,90,26,194,172,279,261,248,242,255,2,40,42,254,246,125,244,104,274,197,256,204,27,196,31,21,173,146,181,97,252,22,164,165,183,0,75,53,79,188,208,73,268,174,266"
85,"1"
86,"1"
87,"1"
88,"1"
89,"1"
90,"1"
91,"1"
92,"242,20,59,247,259,265,286,193,135,243"
93,"242,20,59,247,259,265,286,193,135,243"
94,"1"
95,"1"
96,"1"
97,"1"
99,"1"
98,"1"
