row_id,result
0,"78"
1,",,,,,,"
2,"156"
3,""
4,""
5,"179"
6,"189,267,171"
7,"51,209,13,130,15"
8,"207,76"
9,""
10,"104,199,246"
11,"185,240"
12,"125"
13,"101,81"
14,""
15,""
16,""
17,""
18,"140,98"
19,""
20,"242,168"
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,"234"
29,""
30,""
31,""
32,""
33,"272"
34,"121"
35,"72,247,276"
36,"140,235,50"
37,""
38,""
39,"158,153,154,140,235,50,182,197,41,49"
40,"187,55,191,200"
41,""
42,"59,265,64,275,37,207"
43,""
44,""
45,"286,29,175,205"
46,"166,124,"
47,""
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,""
62,""
63,""
64,""
65,""
66,"127,225,169"
67,"190,52"
68,"127,233,54,16,,55,166,162,86,20,247,286,179,156,123,88,,279,2,,125,104,235,201,,96,,236,114,41,275,276,266,200,216,39,264,163,33,145,252,240,239,71,141,230,282,102,,206,1,234,153,154,28,58,64,244,129,108,182,272,283,15"
69,""
70,""
71,""
72,"51,26,271,96,75"
73,""
74,",44,71"
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,""
83,""
84,""
85,""
86,""
87,"127,221,5,233,,,151,220,54,215"
88,""
89,""
90,""
91,""
92,""
93,","
94,",,,,,,"
95,",,,"
96,""
97,"209,9,150,262,132,113"
98,""
99,"233,54,,166"
